data_category,prefecture_code,police_station_code,report_id,accident_details_code,fatalities,injured_persons,route_code,location_code,municipality_code,occurence_year,occurence_month,occurence_date,occurence_hour,occurence_minute,day_night_code,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute,weather_code,terrain_code,road_condition_code,road_config_code,traffic_signal_code,stop_reg_signage_code_party_a,stop_reg_roadmarking_code_party_a,stop_reg_signage_code_party_b,stop_reg_roadmarking_code_party_b,road_width_code,road_alignment_code,collision_point_code,zone_reg_code,median_facility_code,pedestrian_vehicle_separation_code,accident_type_code,age_party_a,age_party_b,party_type_code_party_a,party_type_code_party_b,vehicle_use_code_party_a,vehicle_use_code_party_b,vehicle_shape_code_party_a,vehicle_shape_code_party_b,auto_transm_code_party_a,auto_transm_code_party_b,safety_feature_code_party_a,safety_feature_code_party_b,speed_reg_code_party_a,speed_reg_code_party_b,vehicle_impact_point_code_party_a,vehicle_impact_point_code_party_b,vehicle_damage_level_party_a,vehicle_damage_level_party_b,airbag_code_party_a,airbag_code_party_b,side_airbag_code_party_a,side_airbag_code_party_b,injury_severity_code_party_a,injury_severity_code_party_b,latitude_north,longitude_east,occurence_day_code,public_holiday_code,days_since_cognitive_test_party_a,days_since_cognitive_test_party_b,driving_practice_method_code_party_a,driving_practice_method_code_party_b
1,97,104,14,2,0,2,580,1088,205,2024,1,19,16,29,12,7,18,18,2,1,1,1,7,1,0,0,0,0,1,9,1,70,5,2,21,25,45,4,31,31,31,1,0,1,0,11,11,10,10,10,30,3,3,2,0,2,0,4,2,261709100,1274520646,6,3,9999,9999,1,2
1,97,104,16,2,0,4,3300,87,205,2024,1,19,16,43,12,7,18,18,2,1,1,1,14,7,0,0,0,0,4,9,1,70,4,2,21,25,65,3,4,31,31,1,1,1,1,11,11,3,3,10,31,4,3,2,2,2,2,4,2,261656075,1274638053,6,3,9999,9999,1,9
1,97,105,1,2,0,1,10850,0,211,2024,1,3,15,35,12,7,17,17,50,3,1,2,14,7,0,0,0,0,3,9,1,70,1,2,21,1,1,3,4,31,31,1,1,2,1,11,11,3,3,87,56,3,2,2,1,2,2,4,2,261902086,1274935044,4,3,9999,9999,1,1
1,97,105,2,2,0,3,99000,0,326,2024,1,3,14,1,12,7,17,17,50,3,2,2,0,7,0,0,0,0,0,0,20,70,0,4,21,1,35,3,3,31,31,1,1,1,1,11,11,10,10,10,40,3,3,2,2,2,2,4,2,261817960,1274534038,4,3,9999,9999,1,1
1,97,105,4,1,1,0,3300,30,211,2024,1,9,18,9,21,7,18,17,54,2,1,2,1,1,9,22,0,0,19,9,30,70,5,2,1,1,75,14,61,31,0,11,0,1,0,11,0,3,0,10,0,3,0,2,0,2,0,4,1,261929402,1274734541,3,3,9999,0,5,0
1,97,105,12,2,0,2,580,1032,326,2024,1,11,16,5,12,7,18,17,56,1,1,1,14,7,0,0,0,0,4,9,1,70,1,2,21,75,25,3,3,31,31,1,1,1,1,11,11,5,5,50,40,3,3,2,2,2,2,4,2,261955942,1274505720,5,3,1128,9999,9,1
1,97,105,13,2,0,1,33260,0,326,2024,1,15,16,38,12,7,18,17,59,1,1,1,14,7,0,0,0,0,3,9,1,70,5,2,21,45,35,3,36,1,31,1,0,1,0,11,11,10,10,30,10,3,3,2,0,2,0,4,2,261854824,1274518817,2,3,9999,9999,1,4
1,97,105,17,2,0,1,10850,0,327,2024,1,10,11,18,12,7,18,17,55,2,2,1,1,1,9,22,9,22,19,9,30,70,5,2,21,35,75,13,4,31,31,11,1,2,1,11,11,3,3,80,40,3,3,2,2,2,2,2,4,261858370,1274756407,4,3,9999,421,9,9
1,97,105,18,2,0,2,32110,0,211,2024,1,12,13,43,12,7,18,17,56,1,1,1,7,1,0,0,0,0,3,9,1,70,4,2,21,55,55,3,4,31,31,1,1,1,1,11,11,2,2,10,30,3,3,2,2,2,2,4,2,261955099,1274736665,6,3,9999,9999,9,9
1,97,105,20,2,0,1,3300,47,327,2024,1,20,17,55,13,7,18,18,3,1,2,1,7,7,0,0,0,0,4,9,1,70,1,2,21,35,35,13,4,31,31,11,1,1,1,11,11,4,4,30,10,3,3,2,2,2,2,2,4,261840140,1274718366,7,3,9999,9999,1,1
1,97,105,21,2,0,1,33260,0,326,2024,1,4,19,36,22,7,17,17,51,1,1,1,1,7,9,22,0,0,15,9,30,70,4,2,1,45,75,3,61,31,0,1,0,1,0,11,0,3,0,20,0,4,0,2,0,2,0,4,2,261915992,1274526266,5,3,9999,0,1,0
1,97,105,22,2,0,1,580,1043,326,2024,1,16,13,50,12,7,18,17,59,2,1,1,14,7,0,0,0,0,5,9,1,70,1,2,21,25,25,4,14,31,31,1,11,1,1,11,11,5,5,10,31,2,3,1,2,2,2,4,2,261924719,1274522936,3,3,9999,9999,1,1
1,97,105,23,2,0,1,10230,0,326,2024,1,2,22,39,22,7,17,17,49,1,1,1,7,1,0,0,0,0,3,7,1,70,1,2,21,45,35,4,14,31,31,1,11,1,2,11,11,4,4,10,30,3,3,2,2,2,2,4,2,261937862,1274607309,3,3,9999,9999,1,4
1,97,106,2,2,0,1,25060,0,324,2024,1,12,8,40,12,7,18,17,56,1,2,1,14,7,0,0,0,0,4,9,1,70,4,2,21,45,1,4,35,31,31,1,0,1,0,11,11,3,3,50,20,3,3,2,0,2,0,4,2,262309506,1274416357,6,3,9999,9999,1,1
1,97,107,7,2,0,1,25330,0,213,2024,1,8,13,34,12,7,18,17,53,1,2,1,14,7,0,0,0,0,5,9,1,70,1,2,21,55,35,4,4,31,31,1,1,1,1,11,11,4,4,10,31,3,3,2,2,2,2,4,2,262021811,1275057037,2,1,9999,9999,9,1
1,97,107,9,2,0,2,25080,0,213,2024,1,1,16,17,12,7,17,17,48,1,2,1,13,7,0,0,0,0,3,5,1,70,4,2,21,1,65,4,4,31,31,1,1,1,1,11,11,3,3,50,50,2,2,1,1,2,2,2,2,262315054,1275011090,2,1,9999,9999,1,9
1,97,108,1,2,0,1,3290,195,313,2024,1,2,9,26,12,7,17,17,49,1,3,1,14,7,0,0,0,0,4,7,1,70,4,2,21,45,45,31,31,31,31,0,0,0,0,11,11,4,4,40,20,3,2,0,0,0,0,4,2,262842211,1275758702,3,3,9999,9999,9,9
1,97,109,1,2,0,1,26250,0,209,2024,1,12,15,0,12,7,18,17,56,1,3,1,1,7,1,21,9,22,15,9,30,70,5,3,21,1,25,13,13,31,31,11,11,1,1,11,11,3,3,10,24,3,2,2,2,2,2,4,2,263945490,1280114794,6,3,9999,9999,1,1
1,97,109,3,2,0,1,580,402,302,2024,1,20,9,10,12,7,18,18,3,1,3,1,14,7,0,0,0,0,4,9,1,70,4,2,21,65,45,4,34,31,31,1,0,1,0,11,11,4,4,10,30,3,3,2,0,2,0,4,2,263941962,1280606836,7,3,9999,9999,9,9
1,97,109,4,2,0,1,10840,0,209,2024,1,24,8,35,12,7,17,18,6,1,3,1,14,7,0,0,0,0,3,9,1,70,4,2,21,1,25,4,33,31,31,1,0,1,0,11,11,3,3,40,10,2,1,2,0,2,0,4,2,263701564,1275808458,4,3,9999,9999,1,1
1,97,111,4,2,0,1,27040,0,214,2024,1,5,14,7,12,7,18,17,51,1,3,1,1,7,9,22,9,22,15,9,30,70,5,2,21,55,45,4,4,31,31,1,1,1,1,11,11,3,3,10,50,2,2,1,2,2,2,4,2,244838239,1251305038,6,3,9999,9999,9,9
1,97,111,8,2,0,1,99000,0,214,2024,1,18,9,41,12,7,18,18,1,1,3,1,0,7,0,0,0,0,0,0,20,70,0,4,41,75,0,4,75,31,0,1,0,1,0,11,0,10,0,80,0,3,0,2,0,2,0,4,0,244722371,1251652596,5,3,55,0,9,0
1,97,111,9,2,0,1,33630,0,214,2024,1,6,16,35,12,7,18,17,52,2,3,1,1,7,9,22,9,22,15,9,30,70,4,2,21,35,65,3,4,31,31,1,1,1,1,11,11,10,3,10,20,2,3,2,2,2,2,4,2,244839856,1251756472,7,3,9999,9999,1,9
1,97,112,3,2,0,1,32070,0,207,2024,1,15,13,56,12,7,18,17,59,1,1,1,1,7,1,21,9,22,15,9,30,70,5,4,21,75,25,14,14,31,31,11,11,2,2,11,11,1,2,80,40,3,3,2,2,2,2,4,2,242019770,1240944582,2,3,903,9999,9,1
1,97,112,4,2,0,1,32070,0,207,2024,1,19,18,50,21,7,18,18,2,1,1,1,1,7,9,22,9,22,11,9,30,70,5,2,21,45,55,4,51,31,41,1,0,1,0,11,0,10,0,50,40,3,3,2,0,2,0,4,2,242009694,1241035746,6,3,9999,0,1,0
1,97,113,1,2,0,1,27510,0,208,2024,1,4,14,35,12,7,17,17,51,1,1,1,14,7,0,0,0,0,4,9,1,70,4,2,21,45,35,4,34,31,31,1,0,1,0,11,11,10,3,50,40,3,3,2,0,2,0,4,2,261508744,1274259522,5,3,9999,9999,1,1
1,97,113,2,1,2,0,580,1159,208,2024,1,6,17,18,13,7,18,17,52,2,1,1,14,1,0,0,0,0,6,9,1,70,1,1,1,75,55,14,61,31,0,11,0,1,0,11,0,4,0,18,0,2,0,2,0,2,0,4,1,261500040,1274203506,7,3,81,0,9,0
1,97,113,5,2,0,1,32080,0,208,2024,1,5,8,28,12,7,18,17,51,1,1,1,1,7,1,21,9,22,15,9,30,70,5,2,21,75,35,3,35,1,31,1,0,1,0,11,11,2,2,0,20,4,3,2,0,2,0,4,2,261449057,1274243688,6,3,618,9999,9,5
1,97,113,6,2,0,1,32080,0,208,2024,1,10,9,45,12,7,18,17,55,2,1,1,7,7,0,0,0,0,3,3,1,70,5,4,21,35,45,3,4,31,31,1,1,1,1,11,11,10,10,30,50,3,3,2,2,2,2,4,2,261413783,1274238664,4,3,9999,9999,1,1
